WKT,名前,説明,列４,住所
"POINT (139.0 35.0)", "阿佐谷地域区民センター第４・第５集会室", "説明", "杉並区", "東京都杉並区阿佐谷北1-1-1"
"POINT (139.0 35.0)", "井草地域区民センター第１・第２集会室", "説明", "杉並区", "東京都杉並区下井草5-7-22"
"POINT (139.0 35.0)", "永福和泉地域区民センター第２・第３集会室", "説明", "杉並区", "東京都杉並区和泉3-8-18"
"POINT (139.0 35.0)", "荻窪地域区民センター第１・第２集会室", "説明", "杉並区", "東京都杉並区荻窪2-34-20"
"POINT (139.0 35.0)", "和田区民集会所第２・第３集会室", "説明", "杉並区", "東京都杉並区和田2-31-21"
"POINT (139.0 35.0)", "高井戸地域区民センター第１・第２集会室", "説明", "杉並区", "東京都杉並区高井戸東3-7-5"
"POINT (139.0 35.0)", "西荻地域区民センター第３・第４集会室", "説明", "杉並区", "東京都杉並区桃井4-3-2"
"POINT (139.0 35.0)", "西荻南区民集会所第１レクリエーション室", "説明", "杉並区", "東京都杉並区西荻北1-9-5"
"POINT (139.0 35.0)", "旧天沼区民集会所共用会議室", "説明", "杉並区", "東京都杉並区天沼3-19-16"
"POINT (139.0 35.0)", "コミュニティふらっと方南第１・第２集会室", "説明", "杉並区", "東京都杉並区方南1-27-8"
"POINT (139.0 35.0)", "久我山会館ホール", "説明", "杉並区", "東京都杉並区久我山3-23-20"
"POINT (139.0 35.0)", "浜田山会館第１・第２集会室", "説明", "杉並区", "東京都杉並区浜田山1-36-3"
"POINT (139.0 35.0)", "高円寺北区民集会所第１・第２集会室", "説明", "杉並区", "東京都杉並区高円寺北3-25-9"
"POINT (139.0 35.0)", "高円寺地域区民センター第９・第10集会室", "説明", "杉並区", "東京都杉並区梅里1-22-32"
"POINT (139.0 35.0)", "豊島区役所", "説明", "豊島区", "東京都豊島区南池袋2-45-1"
"POINT (139.0 35.0)", "旧朝日中学校", "説明", "豊島区", "東京都豊島区西巣鴨4-9-1"
